"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13101","東京都","千代田区","飯田橋","九段下","4",21000000,"","１Ｋ","20",,"","","","平成9年","ＳＲＣ","","その他","","",,"商業地域",80,500,"2020年第２四半期","改装済",""
2,"中古マンション等","","13101","東京都","千代田区","岩本町","岩本町","4",25000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
3,"中古マンション等","","13101","東京都","千代田区","岩本町","岩本町","4",26000000,"","１Ｋ","20",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,700,"2020年第２四半期","",""
4,"中古マンション等","","13101","東京都","千代田区","岩本町","岩本町","3",43000000,"","１ＬＤＫ","30",,"","","","平成28年","ＲＣ","住宅","住宅","","",,"商業地域",80,800,"2020年第２四半期","未改装",""
5,"中古マンション等","","13101","東京都","千代田区","岩本町","新日本橋","4",28000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
6,"中古マンション等","","13101","東京都","千代田区","岩本町","馬喰町","4",20000000,"","１Ｋ","20",,"","","","平成17年","ＲＣ","","住宅","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
7,"中古マンション等","","13101","東京都","千代田区","内神田","小川町(東京)","4",59000000,"","１ＬＤＫ","45",,"","","","平成26年","ＲＣ","住宅","その他","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
8,"中古マンション等","","13101","東京都","千代田区","内神田","神田(東京)","2",25000000,"","１Ｋ","20",,"","","","平成17年","ＲＣ","","住宅","","",,"商業地域",80,600,"2020年第２四半期","未改装",""
9,"宅地(土地と建物)","商業地","13101","東京都","千代田区","神田和泉町","秋葉原","5",380000000,"","","150",,"長方形","10.0","660","昭和61年","鉄骨造","事務所、倉庫、駐車場","事務所","南","区道",7.0,"商業地域",80,500,"2020年第２四半期","",""
10,"中古マンション等","","13101","東京都","千代田区","神田小川町","小川町(東京)","3",23000000,"","１Ｋ","30",,"","","","昭和55年","ＳＲＣ","住宅","事務所","","",,"商業地域",80,600,"2020年第２四半期","改装済",""
